h,delta,p,theta,file
50.592552,34.465198,0.076014,86.823600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034720C3o.log"
73.377927,34.470271,0.075934,77.634800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051813C3o.log"
69.954116,34.469132,0.075856,78.939200,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050435C3o.log"
59.088539,34.462358,0.075897,83.368500,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042114C3o.log"
56.507927,34.466083,0.075782,84.474300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T041054C3o.log"
61.595750,34.462859,0.075986,82.425700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043112C3o.log"
64.073741,34.471722,0.075746,81.432200,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044108C3o.log"
49.670342,34.460914,0.075806,87.106300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034339C3o.log"
70.876219,34.473585,0.075852,78.676800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050815C3o.log"
47.693700,34.460680,0.075668,88.023700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033544C3o.log"
62.823761,34.467275,0.075779,81.906900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043608C3o.log"
45.853902,34.460470,0.075899,88.709400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T032825C3o.log"
49.371258,34.460887,0.075876,87.317400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034225C3o.log"
63.143027,34.467356,0.075877,81.736400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043722C3o.log"
66.226246,34.472254,0.075975,80.592100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044942C3o.log"
56.193653,34.466020,0.075824,84.519800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040941C3o.log"
46.172242,34.468847,0.075860,88.675500,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T032939C3o.log"
47.085589,34.464783,0.075891,88.249600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033317C3o.log"
64.388756,34.463474,0.076336,81.341600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044221C3o.log"
66.531061,34.464001,0.075635,80.350700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T045055C3o.log"
64.681826,34.463533,0.075837,81.158800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044333C3o.log"
50.289319,34.465164,0.075906,86.958100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034606C3o.log"
73.680942,34.474542,0.075944,77.480000,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051927C3o.log"
56.812946,34.470295,0.075834,85.024200,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T041208C3o.log"
65.603910,34.467926,0.075797,80.793400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044714C3o.log"
71.185288,34.465352,0.075643,78.629100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050929C3o.log"
51.515068,34.461159,0.075723,86.464000,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035059C3o.log"
72.139369,34.465663,0.075921,78.024600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051319C3o.log"
45.557305,34.460448,0.075889,88.888900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T032712C3o.log"
62.519719,34.467215,0.075872,82.021800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043454C3o.log"
52.482017,34.461289,0.075835,86.037300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035452C3o.log"
71.522853,34.473788,0.075847,78.388400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051051C3o.log"
73.061267,34.470144,0.075857,77.777000,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051700C3o.log"
60.328241,34.466771,0.075771,82.917500,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042608C3o.log"
60.942253,34.462723,0.075711,82.639600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042837C3o.log"
62.215527,34.471321,0.075886,82.123600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043340C3o.log"
45.239562,34.468736,0.075822,89.046300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T032558C3o.log"
53.718016,34.465644,0.075820,85.511500,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035946C3o.log"
69.040468,34.464697,0.076072,79.473100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050055C3o.log"
55.894460,34.465976,0.075891,84.666900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040828C3o.log"
71.840421,34.465573,0.075699,78.231800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051205C3o.log"
55.594524,34.470101,0.075907,84.847100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040715C3o.log"
72.756449,34.470045,0.075717,77.957600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051546C3o.log"
53.096220,34.465547,0.075791,85.761400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035718C3o.log"
53.400271,34.465587,0.075862,85.622700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035832C3o.log"
65.304131,34.467854,0.075869,80.898600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044601C3o.log"
49.989467,34.469297,0.075885,87.222000,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034453C3o.log"
60.010699,34.466700,0.075856,82.996700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042455C3o.log"
55.280327,34.461707,0.075675,84.784800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040602C3o.log"
72.454198,34.474112,0.075986,78.049400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T051432C3o.log"
63.751194,34.463321,0.075676,81.487000,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043949C3o.log"
69.330226,34.464772,0.075935,79.265600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050206C3o.log"
70.261525,34.469220,0.075892,79.047900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050549C3o.log"
61.896354,34.462912,0.075747,82.168800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043226C3o.log"
58.481175,34.470580,0.075812,83.713400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T041848C3o.log"
46.470485,34.464709,0.075938,88.499100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033052C3o.log"
73.989996,34.466325,0.075611,77.587200,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T052041C3o.log"
65.000221,34.471952,0.075867,80.890300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044447C3o.log"
49.053696,34.469171,0.075897,87.456900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034111C3o.log"
54.982992,34.461671,0.075881,85.054500,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040448C3o.log"
51.211728,34.469451,0.075925,86.596000,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034947C3o.log"
69.649318,34.473211,0.075888,79.149800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050320C3o.log"
46.769636,34.464737,0.075931,88.338800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033204C3o.log"
70.578077,34.469330,0.075811,78.727800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050703C3o.log"
59.708363,34.466645,0.075679,83.053200,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042341C3o.log"
63.447885,34.471585,0.075835,81.640300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043836C3o.log"
50.906814,34.465250,0.075899,86.712600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034832C3o.log"
52.183800,34.461256,0.075877,86.178300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035338C3o.log"
58.793723,34.462314,0.075883,83.548400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042001C3o.log"
68.722154,34.472927,0.075786,79.590900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T045941C3o.log"
54.665506,34.469944,0.075866,85.138100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040335C3o.log"
52.798008,34.469675,0.075901,85.908700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035605C3o.log"
57.117820,34.462014,0.075832,84.199600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T041321C3o.log"
65.923038,34.468016,0.075808,80.642800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044828C3o.log"
54.021271,34.469850,0.075914,85.458100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040059C3o.log"
59.406861,34.470759,0.075793,83.812800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042228C3o.log"
47.383792,34.468978,0.075891,88.161600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033430C3o.log"
54.329572,34.461565,0.075670,85.320800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040213C3o.log"
61.281502,34.471117,0.075826,82.498600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042959C3o.log"
60.633080,34.470991,0.075816,82.842700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042723C3o.log"
